Time (s),X,Y,Z,Direction
89.75999999999367,-3.9599999999999973,7.199999999999994,1.27,Right
89.79199999999366,-3.8699999999999974,7.199999999999994,1.27,Right
89.82399999999366,-3.7799999999999976,7.199999999999994,1.27,Right
89.85599999999366,-3.6899999999999977,7.199999999999994,1.27,Right
89.88799999999365,-3.599999999999998,7.199999999999994,1.27,Right
89.91999999999365,-3.509999999999998,7.199999999999994,1.27,Right
89.95199999999365,-3.419999999999998,7.199999999999994,1.27,Right
89.98399999999364,-3.3299999999999983,7.199999999999994,1.27,Right
90.01599999999364,-3.2399999999999984,7.199999999999994,1.27,Right
90.04799999999364,-3.1499999999999986,7.199999999999994,1.27,Right
90.07999999999363,-3.0599999999999987,7.199999999999994,1.27,Right
90.11199999999363,-2.969999999999999,7.199999999999994,1.27,Right
90.14399999999362,-2.879999999999999,7.199999999999994,1.27,Right
90.17599999999362,-2.789999999999999,7.199999999999994,1.27,Right
90.20799999999362,-2.6999999999999993,7.199999999999994,1.27,Right
90.23999999999361,-2.6099999999999994,7.199999999999994,1.27,Right
90.27199999999361,-2.5199999999999996,7.199999999999994,1.27,Right
90.30399999999361,-2.4299999999999997,7.199999999999994,1.27,Right
90.3359999999936,-2.34,7.199999999999994,1.27,Right
90.3679999999936,-2.25,7.199999999999994,1.27,Right
90.3999999999936,-2.16,7.199999999999994,1.27,Right
90.4319999999936,-2.0700000000000003,7.199999999999994,1.27,Right
90.46399999999359,-1.9800000000000002,7.199999999999994,1.27,Right
90.49599999999359,-1.8900000000000001,7.199999999999994,1.27,Right
90.52799999999358,-1.8,7.199999999999994,1.27,Right
90.55999999999358,-1.71,7.199999999999994,1.27,Right
90.59199999999358,-1.6199999999999999,7.199999999999994,1.27,Right
90.62399999999357,-1.5299999999999998,7.199999999999994,1.27,Right
90.65599999999357,-1.4399999999999997,7.199999999999994,1.27,Right
90.68799999999356,-1.3499999999999996,7.199999999999994,1.27,Right
90.71999999999356,-1.2599999999999996,7.199999999999994,1.27,Right
90.75199999999356,-1.1699999999999995,7.199999999999994,1.27,Right
90.78399999999355,-1.0799999999999994,7.199999999999994,1.27,Right
90.81599999999355,-0.9899999999999994,7.199999999999994,1.27,Right
90.84799999999355,-0.8999999999999995,7.199999999999994,1.27,Right
90.87999999999354,-0.8099999999999995,7.199999999999994,1.27,Right
90.91199999999354,-0.7199999999999995,7.199999999999994,1.27,Right
90.94399999999354,-0.6299999999999996,7.199999999999994,1.27,Right
90.97599999999353,-0.5399999999999996,7.199999999999994,1.27,Right
91.00799999999353,-0.4499999999999996,7.199999999999994,1.27,Right
91.03999999999353,-0.35999999999999965,7.199999999999994,1.27,Right
91.07199999999352,-0.2699999999999997,7.199999999999994,1.27,Right
91.10399999999352,-0.1799999999999997,7.199999999999994,1.27,Right
91.13599999999352,-0.08999999999999969,7.199999999999994,1.27,Right
91.16799999999351,3.0531133177191805e-16,7.199999999999994,1.27,Right
91.19999999999351,0.0900000000000003,7.199999999999994,1.27,Right
91.2319999999935,0.1800000000000003,7.199999999999994,1.27,Right
91.2639999999935,0.2700000000000003,7.199999999999994,1.27,Right
91.2959999999935,0.3600000000000003,7.199999999999994,1.27,Right
91.3279999999935,0.4500000000000003,7.199999999999994,1.27,Right
91.35999999999349,0.5400000000000003,7.199999999999994,1.27,Right
91.39199999999349,0.6300000000000002,7.199999999999994,1.27,Right
91.42399999999348,0.7200000000000002,7.199999999999994,1.27,Right
91.45599999999348,0.8100000000000002,7.199999999999994,1.27,Right
91.48799999999348,0.9000000000000001,7.199999999999994,1.27,Right
91.51999999999347,0.9900000000000001,7.199999999999994,1.27,Right
91.55199999999347,1.08,7.199999999999994,1.27,Right
91.58399999999347,1.1700000000000002,7.199999999999994,1.27,Right
91.61599999999346,1.2600000000000002,7.199999999999994,1.27,Right
91.64799999999346,1.3500000000000003,7.199999999999994,1.27,Right
91.67999999999346,1.4400000000000004,7.199999999999994,1.27,Right
91.71199999999345,1.5300000000000005,7.199999999999994,1.27,Right
91.74399999999345,1.6200000000000006,7.199999999999994,1.27,Right
91.77599999999345,1.7100000000000006,7.199999999999994,1.27,Right
91.80799999999344,1.8000000000000007,7.199999999999994,1.27,Right
91.83999999999344,1.8900000000000008,7.199999999999994,1.27,Right
91.87199999999343,1.9800000000000009,7.199999999999994,1.27,Right
91.90399999999343,2.0700000000000007,7.199999999999994,1.27,Right
91.93599999999343,2.1600000000000006,7.199999999999994,1.27,Right
91.96799999999342,2.2500000000000004,7.199999999999994,1.27,Right
91.99999999999342,2.3400000000000003,7.199999999999994,1.27,Right
92.03199999999342,2.43,7.199999999999994,1.27,Right
92.06399999999341,2.52,7.199999999999994,1.27,Right
92.09599999999341,2.61,7.199999999999994,1.27,Right
